"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - B3",16,"R2",0.000689930048034171,"R2_33","c1",0.336,336,264.383086732595,2.64383086732595e-10,0.121741010707988,3.21862641929237e-05,"heatstress","active",2,"M",2022-04-20,0,2
"Test - A4",16,"R2",0.00190204139166223,"R2_20","c1",0.326,326,242.057403831911,2.42057403831911e-10,0.366578596891789,8.87330634639713e-05,"heatstress","active",2,"F",2022-04-20,0,2
"Test - B4",16,"R2",0.000878332391245776,"R2_40","c1",0.337,337,266.687272258224,2.66687272258224e-10,0.153646305381633,4.09755140747817e-05,"heatstress","active",2,"M",2022-04-20,0,1
"Test - A5",16,"R2",0.00191753507094349,"R2_24","c1",0.333,333,257.549161698087,2.57549161698087e-10,0.347335111036706,8.94558666758157e-05,"heatstress","active",2,"F",2022-04-20,0,2
"Test - A6",16,"R2",0.00121202354528234,"R2_27","c1",0.338,338,269.004622956061,2.69004622956061e-10,0.210192310920638,5.65427033474694e-05,"control","active",3,NA,2022-04-20,0,2
"Test - A2",17,"R2",-0.000243246977691345,"R2_3","c1",0.32,320,229.277224351279,2.29277224351279e-10,-0.0494934808447197,-1.13477279115605e-05,"heatstress","active",5,"F",2022-04-21,1,3
"Test - A3",17,"R2",0.00242613157392106,"R2_11","c1",0.329,329,248.619392429484,2.48619392429484e-10,0.455240414510811,0.000113181595265024,"control","active",3,"F",2022-04-21,1,2
"Test - A4",17,"R2",0.00307881590925205,"R2_28","c1",0.328,328,246.419233546082,2.46419233546082e-10,0.582868493762121,0.000143630007491021,"control","active",1,"F",2022-04-21,1,2
"Test - A5",17,"R2",0.00475862144462404,"R2_34","c1",0.348,348,292.910116197252,2.92910116197252e-10,0.757893613409367,0.000221994706368892,"control","active",6,"M",2022-04-21,1,1
"Test - A6",17,"R2",0.00385078460849645,"R2_40","c2",0.415,415,489.805233496675,4.89805233496675e-10,0.366764478498161,0.000179643161029078,"heatstress","active",2,"M",2022-04-21,1,2
"Test - A2",18,"R2",0.00215837318765073,"R2_5","c1",0.335,335,262.09203043437,2.6209203043437e-10,0.384182841044332,0.000100691260867354,"control","active",6,NA,2022-04-22,2,1
"Test - B2",18,"R2",0.00281815758907688,"R2_24","c2",0.426,426,528.68745844323,5.2868745844323e-10,0.248674646075984,0.000131471166613182,"heatstress","active",2,"F",2022-04-22,2,1
